game_id,tournament_name,division_name,level_name,date,location_name,location,home_team,away_team,home_score,away_score,status
#3016,E.H.L.,Moins de 13 ans,A,2026-02-06 19:30,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,LEAFS VERDUN,5,2,Completed
#3032,E.H.L.,Moins de 13 ans,A,2026-02-21 13:30,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,DEVILS M.R.O.,,,Initialized
#3055,E.H.L.,Moins de 13 ans,A,2026-02-18 18:30,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,WINGS WESTMOUNT,,,Initialized
#3311,E.H.L.,Moins de 13 ans,B,2025-11-08 15:00,COMPLEXE SPORTIF DE KAHNAWAKE,"COMPLEXE SPORTIF DE KAHNAWAKE, QC-138",KNIGHTS M.W.H.,MOHAWKS KAHNAWAKE,4,1,Completed
#3315,E.H.L.,Moins de 13 ans,B,2026-02-19 19:00,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,DEVILS M.R.O.,,,Initialized
#3326,E.H.L.,Moins de 13 ans,B,2026-02-26 19:00,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,RAPIDES LACHINE,,,Initialized
#3329,E.H.L.,Moins de 13 ans,B,2026-02-09 20:00,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,WARRIORS ST-LAURENT,0,5,Completed
#3336,E.H.L.,Moins de 13 ans,B,2026-02-01 18:30,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,PANTHERES LASALLE,0,10,Completed
#3337,E.H.L.,Moins de 13 ans,B,2026-02-05 19:00,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,RED CANUCKS COTE-ST-LUC,2,7,Completed
#3370,E.H.L.,Moins de 13 ans,B,2026-02-17 18:00,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,WHITE CANUCKS COTE-ST-LUC,,,Initialized
#3384,E.H.L.,Moins de 13 ans,B,2026-02-04 18:30,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,BULLDOGS VERDUN,2,5,Completed
#3405,E.H.L.,Moins de 13 ans,B,2026-02-23 19:30,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,TRAPPEURS LACHINE,,,Initialized
#3412,E.H.L.,Moins de 13 ans,B,2026-02-12 19:00,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,WINGS WESTMOUNT,1,1,Completed
#5015,E.H.L.,Moins de 18 ans,A,2026-02-18 19:30,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,CANUCKS COTE-ST-LUC,,,Initialized
#5026,E.H.L.,Moins de 18 ans,A,2026-02-20 19:30,LEGION MEMORIAL RINK,"LEGION MEMORIAL RINK, 220 Av. Bedbrook",KNIGHTS M.W.H.,WINGS WESTMOUNT,,,Initialized
