k_factor,home_advantage,pyth_exponent,elo_weight,accuracy,correct,total
35,100,2.0,0.8,71.42857142857143,55,77
35,100,2.2,0.8,71.42857142857143,55,77
35,100,2.37,0.8,71.42857142857143,55,77
35,100,2.5,0.8,71.42857142857143,55,77
40,100,1.8,0.8,71.42857142857143,55,77
40,100,2.0,0.8,71.42857142857143,55,77
40,100,2.2,0.8,71.42857142857143,55,77
40,100,2.37,0.8,71.42857142857143,55,77
20,75,1.8,0.8,70.12987012987013,54,77
25,50,1.8,0.4,70.12987012987013,54,77
25,75,1.8,0.8,70.12987012987013,54,77
25,75,2.0,0.8,70.12987012987013,54,77
25,75,2.2,0.8,70.12987012987013,54,77
25,75,2.37,0.8,70.12987012987013,54,77
25,75,2.5,0.8,70.12987012987013,54,77
30,50,1.8,0.4,70.12987012987013,54,77
30,50,2.0,0.4,70.12987012987013,54,77
30,50,2.2,0.4,70.12987012987013,54,77
30,50,2.37,0.4,70.12987012987013,54,77
30,75,1.8,0.8,70.12987012987013,54,77
30,75,2.0,0.8,70.12987012987013,54,77
30,75,2.2,0.8,70.12987012987013,54,77
30,75,2.37,0.8,70.12987012987013,54,77
30,100,2.37,0.8,70.12987012987013,54,77
30,100,2.5,0.8,70.12987012987013,54,77
35,50,1.8,0.4,70.12987012987013,54,77
35,50,1.8,0.5,70.12987012987013,54,77
35,50,1.8,0.8,70.12987012987013,54,77
35,50,2.0,0.4,70.12987012987013,54,77
35,50,2.0,0.5,70.12987012987013,54,77
35,50,2.0,0.8,70.12987012987013,54,77
35,50,2.2,0.4,70.12987012987013,54,77
35,50,2.2,0.8,70.12987012987013,54,77
35,50,2.37,0.4,70.12987012987013,54,77
35,50,2.37,0.8,70.12987012987013,54,77
35,50,2.5,0.4,70.12987012987013,54,77
35,50,2.5,0.8,70.12987012987013,54,77
35,75,1.8,0.8,70.12987012987013,54,77
35,100,1.8,0.7,70.12987012987013,54,77
35,100,1.8,0.8,70.12987012987013,54,77
40,50,1.8,0.4,70.12987012987013,54,77
40,50,1.8,0.5,70.12987012987013,54,77
40,50,1.8,0.6,70.12987012987013,54,77
40,50,1.8,0.8,70.12987012987013,54,77
40,50,2.0,0.4,70.12987012987013,54,77
40,50,2.0,0.5,70.12987012987013,54,77
40,50,2.0,0.6,70.12987012987013,54,77
40,50,2.0,0.8,70.12987012987013,54,77
40,50,2.2,0.4,70.12987012987013,54,77
40,50,2.2,0.5,70.12987012987013,54,77
40,50,2.2,0.8,70.12987012987013,54,77
40,50,2.37,0.4,70.12987012987013,54,77
40,50,2.37,0.5,70.12987012987013,54,77
40,50,2.37,0.8,70.12987012987013,54,77
40,50,2.5,0.4,70.12987012987013,54,77
